1,2,3,4,5,6,7,8,9,10,11
13,15,13,17,17,21,23,26,26,29,32
9,18,12,20,21,21,24,22,27,25,31
11,18,14,19,17,23,21,24,23,27,34
11,14,16,18,19,22,21,24,23,28,31
13,12,14,19,19,24,21,24,25,28,26
13,14,14,18,16,21,19,22,26,29,29
11,12,13,17,17,22,24,24,29,25,30
10,15,14,17,19,24,20,23,26,27,33
12,11,18,18,16,19,21,23,23,29,30
14,11,14,15,17,19,21,25,24,30,29
9,15,16,17,19,23,20,24,25,31,28
11,14,16,19,18,26,28,28,26,26,30
14,13,16,16,17,21,21,26,27,24,28
13,15,18,21,20,21,21,23,25,28,29
12,16,14,18,19,22,21,24,25,27,29
12,13,13,17,19,20,23,25,25,28,26
10,13,18,14,22,21,22,25,27,29,26
13,13,15,16,20,23,22,23,25,26,27
12,13,15,17,21,22,21,25,27,25,29
11,16,16,15,22,23,22,24,27,26,29
10,12,15,15,17,19,22,22,26,28,27
11,13,14,16,19,19,22,24,26,28,26
13,13,16,17,20,21,21,26,26,27,30
10,17,17,20,17,21,21,24,26,28,28
11,17,13,20,18,22,21,25,24,27,26
14,11,20,18,19,20,22,22,25,29,28
13,13,14,15,18,20,22,25,27,30,28
13,18,15,15,18,20,23,22,25,28,31
12,13,15,19,17,21,21,24,26,27,27
11,12,15,19,17,21,26,25,27,26,30
12,12,15,20,18,23,22,24,23,29,29
10,14,16,18,16,19,23,27,25,30,31
10,15,14,17,17,24,21,27,27,29,28
11,16,16,17,16,18,21,24,27,29,28
14,12,17,17,18,18,24,24,28,32,28
10,17,16,16,22,21,22,25,25,28,30
12,12,15,15,21,21,24,21,27,27,29
13,14,15,16,20,21,26,24,27,28,28
15,13,17,19,20,21,19,24,24,26,29
14,13,17,17,18,19,23,23,24,27,31
12,14,20,16,23,22,20,26,25,28,28
11,13,15,18,18,21,22,24,26,32,27
15,14,18,18,22,19,22,23,27,29,28
13,13,14,19,22,18,23,23,25,26,29
13,11,18,17,19,20,23,22,28,27,34
12,15,13,20,17,24,20,24,27,28,31
14,18,15,15,19,20,22,23,26,28,28
14,13,18,17,18,18,22,25,23,28,28
13,15,13,17,19,24,20,26,23,26,29
13,14,16,16,18,22,23,26,26,32,31
11,11,15,15,18,23,24,25,23,28,30
12,15,16,20,21,20,24,23,28,28,30
16,17,15,17,20,19,28,23,26,26,31
11,12,16,16,19,19,21,25,24,26,29
12,14,15,18,20,21,21,23,28,26,29
12,15,16,15,17,19,24,24,25,27,30
14,13,13,16,17,20,23,22,26,26,27
13,11,20,16,17,21,26,22,25,26,31
12,16,15,18,18,19,22,23,23,27,32
11,14,15,19,17,21,19,24,25,26,29
15,15,15,18,18,19,20,24,27,25,26
11,15,14,19,18,19,23,26,26,28,29
12,13,14,16,18,21,24,27,28,27,29
12,16,15,18,18,20,22,24,26,27,28
14,14,14,15,18,19,21,26,24,26,27
11,14,16,18,21,19,22,23,24,27,31
14,16,15,18,22,25,20,24,23,29,30
9,13,14,16,20,21,23,24,29,28,29
10,13,14,16,17,20,24,24,29,24,26
11,15,12,17,20,20,22,24,27,29,31
14,15,15,16,20,21,21,23,26,25,27
15,11,20,21,18,21,23,25,23,28,27
13,14,17,18,16,19,24,23,26,26,27
13,12,18,15,18,23,22,22,25,29,29
11,13,14,17,18,21,23,24,24,27,26
15,17,14,22,19,20,23,21,27,26,28
14,12,19,19,20,18,22,24,24,29,29
11,14,17,21,18,19,20,24,26,28,31
13,13,18,17,21,19,24,24,25,29,31
11,13,16,15,18,21,21,23,27,32,31
15,15,16,14,19,20,23,25,27,27,28
10,11,15,19,19,22,21,22,26,27,30
14,13,14,16,19,23,21,26,24,25,30
13,15,17,18,19,21,19,21,25,28,31
15,14,15,17,21,24,22,26,24,28,30
12,13,15,20,20,22,23,23,24,30,27
11,16,16,16,17,21,23,27,23,29,31
12,14,14,16,22,24,23,25,30,28,27
12,13,13,17,21,20,23,25,27,25,28
14,17,19,21,20,19,21,28,27,29,30
14,13,16,18,21,21,23,25,26,28,27
11,15,13,15,20,24,23,23,25,25,29
10,12,17,16,18,22,21,25,27,27,27
13,14,16,21,20,24,23,25,24,27,27
13,13,13,17,20,21,21,24,27,32,30
12,15,13,17,19,20,21,23,24,28,27
11,14,16,15,18,20,22,26,27,29,29
11,14,15,16,20,18,24,23,26,29,27
17,13,16,17,18,21,26,26,24,25,29
11,16,18,18,17,18,20,23,26,27,29
